Table 6-104:  CH4 and CO2 Emissions (MT CO2 Eq.) from Other Constructed Waterbodies in Land Converted to Flooded Land in 2020,,,
,,,
,Freshwater Ponds,,
State,CH4,CO2,Total
Alabama,0,0,0
Arizona,0,0,0
Arkansas,0,0,0
California,18,25,43
Colorado,82,65,147
Connecticut,0,0,0
Delaware,0,0,0
District of Columbia,0,0,0
Florida,14,30,44
Georgia,43,96,139
Idaho,0,0,0
Illinois,26,31,57
Indiana,0,0,0
Iowa,8,10,18
Kansas,160,187,347
Kentucky,0,0,0
Louisiana,0,0,0
Maine,11,9,19
Maryland,26,31,57
Massachusetts,229,239,468
Michigan,0,0,0
Minnesota,75,61,137
Mississippi,146,288,434
Missouri,33,38,71
Montana,37,30,68
Nebraska,43,39,82
Nevada,0,0,0
New Hampshire,41,34,75
New Jersey,0,0,0
New Mexico,29,24,53
New York,85,72,157
North Carolina,56,65,121
North Dakota,43,35,78
Ohio,14,16,30
Oklahoma,115,135,250
Oregon,9,7,16
Pennsylvania,21,20,40
Rhode Island,0,0,0
South Carolina,28,33,60
South Dakota,78,64,142
Tennessee,0,0,0
Texas,32,75,107
Utah,60,49,109
Vermont,0,0,0
Virginia,0,0,0
Washington,5,5,10
West Virginia,0,0,0
Wisconsin,30,25,55
Wyoming,24,19,43
Total,"1,619","1,857","3,477"
"Note: Alaska, Hawaii, and U.S. Territories are not included.",,,
