Table 6-107:  State Surface Area (ha) Totals of Other Constructed Waterbodies in Land Converted to Flooded Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,240,202,153,108,96,78,66,56,41,19,13,11,11,11,11,11,11,11,11,11,8,8,8,8,3,3,3,3,0,0,0
Arizona,29,29,26,16,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0
Arkansas,255,221,179,141,93,90,63,54,39,22,22,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,98,76,76,63,56,50,45,43,37,33,22,22,22,22,22,16,15,15,11,7,5,5,5,5,5,5,5,5,5,4,4
Colorado,140,117,95,77,55,47,44,34,37,31,30,27,27,27,27,27,27,30,41,41,41,41,41,41,41,30,27,27,18,18,18
Connecticut,46,46,40,23,14,12,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,46,37,25,22,22,21,15,15,11,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,6,6,6,6,3,3
Georgia,611,485,385,284,227,196,178,110,80,46,37,25,23,18,14,17,21,18,20,20,16,15,9,9,9,9,9,9,9,9,9
Idaho,44,44,44,41,18,18,13,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,333,286,259,199,128,103,71,54,56,55,43,43,43,41,41,38,33,30,30,28,26,22,22,20,20,12,12,11,6,6,6
Indiana,81,73,65,59,52,38,23,18,12,9,9,9,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0
Iowa,"1,062",915,723,627,530,444,352,242,169,121,74,71,61,59,45,33,31,24,16,16,16,16,16,14,14,13,13,13,13,9,2
Kansas,"1,636","1,508","1,296","1,199","1,015",843,662,465,340,242,107,78,69,72,74,74,74,81,81,81,78,75,75,79,80,70,65,58,42,35,35
Kentucky,184,152,124,100,88,63,44,36,28,16,10,8,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
Louisiana,95,95,92,82,74,67,64,57,44,39,39,39,28,21,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,23,21,21,18,18,14,9,9,9,6,6,6,6,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Maryland,38,29,29,26,17,13,13,13,13,13,13,13,13,9,6,6,6,10,10,10,9,9,6,6,6,6,6,6,6,6,6
Massachusetts,70,68,68,61,59,39,46,50,56,58,58,58,62,60,66,65,67,71,63,69,73,72,72,79,82,79,72,67,61,57,50
Michigan,99,88,83,72,69,60,53,43,28,24,24,22,22,22,17,13,13,5,5,5,5,5,2,2,2,2,2,0,0,0,0
Minnesota,96,79,65,65,49,42,41,35,15,11,24,24,32,28,25,25,28,25,25,25,24,24,30,30,30,30,30,30,30,30,16
Mississippi,421,337,271,218,172,147,105,94,54,44,52,52,51,61,61,70,62,65,65,67,67,67,67,67,67,59,59,44,44,39,32
