Table 6-11:  Estimates of CO2 (MMT per Year) Emissions from Forest Fires in the Conterminous 48 States and Alaskaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,CO2 emitted from fires on forest land in the Conterminous 48 States (MMT yr-1),CO2 emitted from fires on forest land in Alaska (MM Tyr-1),Total CO2 emitted (MMTyr-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,11.2,25.9,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,25.8,10.6,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,12.8,0.6,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,4.8,5.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,39.8,3.3,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,8.6,0.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,29.1,0.0,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,4.4,0.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,10.2,3.2,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,35.3,8.4,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,75.6,10.3,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,34.9,1.7,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,93.5,31.7,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,72.4,13.4,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,24.1,162.1,186.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,33.9,93.5,127.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,78.9,3.6,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,121.1,6.7,127.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,76.4,1.9,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,40.5,56.6,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,29.1,10.2,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,72.7,4.3,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,102.4,0.9,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,70.6,24.1,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,54.5,2.6,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,110.1,85.9,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,73.1,5.7,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,154.8,10.0,164.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,108.5,6.7,115.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,27.1,55.8,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,236.8,0.4,237.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a These emissions have already been included in the estimates of net annual changes in C stocks, which include the amount sequestered minus any emissions, including the assumption that combusted wood may continue to decay through time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
