Table 6-114:  Net Flux from Trees in Settlements Remaining Settlements (MMT CO2 Eq. and MMT C)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,MMT C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,(96.4),(26.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,(97.6),(26.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,(98.6),(26.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,(100.2),(27.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,(101.7),(27.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,(103.3),(28.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,(104.8),(28.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,(106.4),(29.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,(107.7),(29.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,(109.0),(29.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,(110.4),(30.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,(111.4),(30.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,(112.3),(30.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,(114.1),(31.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,(115.8),(31.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,(117.4),(32.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,(118.9),(32.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,(120.4),(32.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,(121.9),(33.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,(123.3),(33.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,(124.6),(34.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,(126.0),(34.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,(126.7),(34.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,(128.0),(34.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,(129.4),(35.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,(130.4),(35.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,(129.8),(35.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,(129.8),(35.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,(129.8),(35.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,(129.8),(35.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,(129.8),(35.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a These estimates include net CO2 and C flux from trees on Settlements Remaining Settlements and Land Converted to Settlements as it is not possible to report on these separately at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
