"Table 6-125:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Settlements (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cropland Converted to Settlements,3.4 ,3.9 ,4.3 ,4.9 ,5.6 ,6.4 ,7.0 ,7.7 ,8.3 ,8.9 ,9.4 ,9.8 ,10.0 ,10.0 ,9.8 ,9.8 ,9.7 ,9.5 ,9.2 ,8.9 ,8.5 ,8.2 ,7.8 ,7.3 ,6.7 ,6.2 ,6.0 ,6.0 ,5.9 ,5.9 ,5.9 
Mineral Soils,2.8 ,3.2 ,3.6 ,4.2 ,4.7 ,5.4 ,6.0 ,6.6 ,7.1 ,7.6 ,8.1 ,8.4 ,8.6 ,8.5 ,8.5 ,8.4 ,8.4 ,8.2 ,8.0 ,7.8 ,7.5 ,7.2 ,6.8 ,6.3 ,5.8 ,5.3 ,5.2 ,5.2 ,5.2 ,5.1 ,5.1 
Organic Soils,0.6 ,0.7 ,0.7 ,0.8 ,0.8 ,0.9 ,1.0 ,1.1 ,1.1 ,1.2 ,1.3 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.3 ,1.3 ,1.2 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 
Forest Land Converted to Settlements,52.6 ,52.9 ,53.2 ,53.5 ,53.8 ,54.2 ,54.5 ,54.9 ,55.2 ,55.5 ,55.8 ,56.2 ,56.5 ,56.9 ,57.2 ,57.7 ,58.0 ,58.3 ,58.7 ,59.0 ,59.4 ,59.8 ,60.1 ,60.5 ,60.9 ,61.1 ,61.3 ,61.5 ,61.6 ,61.6 ,61.5 
Aboveground Live Biomass,31.7 ,31.8 ,32.0 ,32.1 ,32.3 ,32.4 ,32.6 ,32.8 ,33.0 ,33.1 ,33.3 ,33.5 ,33.7 ,33.9 ,34.0 ,34.2 ,34.4 ,34.6 ,34.8 ,35.0 ,35.2 ,35.5 ,35.7 ,35.9 ,36.1 ,36.4 ,36.5 ,36.6 ,36.7 ,36.7 ,36.7 
Belowground Live Biomass,6.1 ,6.1 ,6.1 ,6.1 ,6.2 ,6.2 ,6.2 ,6.3 ,6.3 ,6.3 ,6.4 ,6.4 ,6.4 ,6.5 ,6.5 ,6.5 ,6.6 ,6.6 ,6.7 ,6.7 ,6.7 ,6.8 ,6.8 ,6.9 ,6.9 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 
Dead Wood,5.5 ,5.5 ,5.5 ,5.6 ,5.6 ,5.6 ,5.7 ,5.7 ,5.7 ,5.7 ,5.8 ,5.8 ,5.8 ,5.9 ,5.9 ,5.9 ,6.0 ,6.0 ,6.0 ,6.1 ,6.1 ,6.2 ,6.2 ,6.2 ,6.3 ,6.3 ,6.4 ,6.4 ,6.4 ,6.4 ,6.4 
Litter,8.0 ,8.0 ,8.1 ,8.1 ,8.2 ,8.2 ,8.2 ,8.3 ,8.3 ,8.4 ,8.4 ,8.5 ,8.5 ,8.6 ,8.6 ,8.7 ,8.7 ,8.8 ,8.8 ,8.9 ,8.9 ,9.0 ,9.0 ,9.1 ,9.2 ,9.2 ,9.3 ,9.3 ,9.3 ,9.3 ,9.3 
Mineral Soils,1.1 ,1.2 ,1.3 ,1.3 ,1.4 ,1.5 ,1.5 ,1.6 ,1.6 ,1.6 ,1.7 ,1.7 ,1.8 ,1.9 ,1.9 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.1 ,2.0 ,2.1 ,2.1 ,2.0 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 
Organic Soils,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 
