"Table 6-127:  Approach 2 Quantitative Uncertainty Estimates for Soil, Dead Organic Matter and Biomass C Stock Changes occurring within Land Converted to Settlements (MMT CO2 Eq. and Percent)",,,,,
Source,2020 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Cropland Converted to Settlements,5.9,2.1,9.8,-65%,65%
Mineral Soil C Stocks,5.1,1.3,8.9,-74%,74%
Organic Soil C Stocks,0.8,0.1,1.5,-86%,86%
Forest Land Converted to Settlements,61.5,37.3,85.8,-39%,39%
Aboveground Biomass C Stocks,36.7,13.9,59.5,-62%,62%
Belowground Biomass C Stocks,7,2.6,11.4,-62%,62%
Dead Wood,6.4,2.4,10.3,-62%,62%
Litter,9.3,3.5,15.1,-62%,62%
Mineral Soil C Stocks,1.9,1.3,2.5,-32%,32%
Organic Soil C Stocks,0.3,0.1,0.5,-72%,72%
Grassland Converted to Settlements,11.2,6.1,16.4,-46%,46%
Mineral Soil C Stocks,10.3,5.2,15.4,-49%,49%
Organic Soil C Stocks,0.9,0.1,1.7,-90%,90%
Other Lands Converted to Settlements,-1.2,-2,-0.4,-68%,68%
Mineral Soil C Stocks,-1.3,-2,-0.5,-61%,61%
Organic Soil C Stocks,0.1,-0.1,0.3,-168%,168%
Wetlands Converted to Settlements,0.3,-0.2,0.9,-150%,150%
Mineral Soil C Stocks,0.1,+ ,0.1,-103%,103%
Organic Soil C Stocks,0.3,-0.2,0.8,-182%,182%
Total: Land Converted to Settlements,77.9,51.4,104.4,-34%,34%
Aboveground Biomass C Stocks,36.7,13.9,59.5,-62%,62%
Belowground Biomass C Stocks,7,2.6,11.4,-62%,62%
Dead Wood,6.4,2.4,10.3,-62%,62%
Litter,9.3,3.5,15.1,-62%,62%
Mineral Soil C Stocks,16.2,9.7,22.6,-40%,40%
Organic Soil C Stocks,2.4,-6.2,10.9,-361%,361%
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
Note: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
