"Table 6-13:  Recalculations of Forest Area (1,000 ha) and C Stocks in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C)",,,
,,,
,"2020 Estimate, Previous Inventory","2020 Estimate, Current Inventory","2021 Estimate, Current Inventory"
Forest Area (1000 ha),"279,289","282,061","281,951"
Carbon Pools (MMT C),,,
Forest,"55,933","58,156","58,316"
Aboveground Biomass,"15,260","15,579","15,688"
Belowground Biomass,"3,103","3,085","3,106"
Dead Wood,"2,852","2,868","2,896"
Litter,"3,638","3,809","3,810"
Soil (Mineral),"25,147","25,457","25,459"
Soil (Organic),"5,933","7,357","7,357"
Harvested Wood,"2,699","2,695","2,718"
Products in Use,"1,532","1,530","1,536"
SWDS,"1,167","1,165","1,182"
Total Stock,"58,632","60,851","61,034"
Note: Totals may not sum due to independent rounding.,,,
