Table 6-14:  Recalculations of Net C Flux from Forest Ecosystem Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C),,,
,,,
Carbon Pool (MMT C),"2019 Estimate, Previous Inventory","2019 Estimate, Current Inventory","2020 Estimate, Current Inventory"
Forest,-159.1,-148.9,-159.4
Aboveground Biomass,-107.4,-107.2,-108.7
Belowground Biomass,-24.3,-21.3,-21.6
Dead Wood,-27.1,-26.5,-27.7
Litter,-0.1,6.2,-0.5
Soil (Mineral),-0.7,-0.2,-1.1
Soil (Organic),0.3,-0.2,0.1
Drained organic soil,0.2,0.2,0.2
Harvested Wood,-29.6,-24.2,-22.8
Products in Use,-10.7,-6.6,-5.5
SWDS,-18.9,-17.6,-17.3
Total Net Flux,-188.7,-173.1,-182.2
Note: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,
