"Table 6-2:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon Stock Change (CO2)a,(892.0),(900.6),(891.2),(873.0),(889.6),(860.3),(883.3),(861.5),(863.9),(860.6),(862.6),(860.4),(831.2),(857.3),(775.8),(831.1),(855.1),(818.7),(802.5),(772.5),(791.4),(836.3),(837.7),(804.5),(814.4),(748.9),(862.0),(826.7),(809.0),(760.8),(812.2)
Forest Land Remaining Forest Land,(774.0),(778.0),(777.8),(774.9),(768.3),(758.2),(760.9),(754.6),(749.8),(737.9),(716.2),(719.2),(682.6),(714.4),(634.5),(687.3),(708.1),(682.2),(667.0),(645.5),(675.7),(690.5),(684.5),(677.2),(698.6),(628.4),(725.6),(688.3),(677.1),(634.8),(668.1)
Land Converted to Forest Land,(98.6),(98.6),(98.6),(98.6),(98.7),(98.7),(98.7),(98.7),(98.8),(98.8),(98.8),(98.9),(98.9),(99.0),(99.0),(99.1),(99.1),(99.1),(99.2),(99.2),(99.2),(99.3),(99.3),(99.3),(99.3),(99.4),(99.5),(99.5),(99.5),(99.5),(99.5)
Cropland Remaining Cropland,(23.2),(29.0),(25.5),(11.6),(19.3),(12.1),(27.5),(19.1),(9.9),(18.0),(23.7),(27.2),(32.0),(24.1),(26.2),(29.0),(25.2),(29.2),(23.0),(14.0),(18.6),(31.8),(26.4),(15.3),(12.2),(12.8),(22.7),(22.3),(16.6),(14.5),(23.3)
Land Converted to Cropland,51.8 ,52.6 ,53.2 ,52.5 ,52.8 ,57.1 ,56.1 ,59.2 ,55.9 ,56.1 ,55.3 ,55.8 ,53.4 ,53.2 ,52.0 ,52.0 ,50.9 ,51.1 ,53.3 ,53.5 ,54.9 ,52.0 ,53.2 ,54.1 ,55.2 ,55.8 ,54.1 ,54.3 ,54.0 ,53.9 ,54.4 
Grassland Remaining Grassland,6.9 ,6.9 ,8.5 ,11.2 ,(1.9),6.2 ,5.2 ,9.2 ,3.0 ,7.2 ,(5.5),5.6 ,4.1 ,2.2 ,7.9 ,8.7 ,(4.1),10.1 ,3.0 ,4.1 ,18.5 ,15.8 ,1.6 ,14.3 ,18.1 ,12.0 ,8.0 ,9.3 ,9.7 ,12.4 ,4.5 
Land Converted to Grassland,(3.1),(3.0),(2.6),(5.7),(11.3),(13.9),(17.6),(19.3),(25.7),(29.9),(35.2),(38.3),(38.6),(38.0),(37.5),(37.0),(38.0),(37.1),(34.0),(33.8),(32.6),(32.1),(31.2),(27.8),(22.4),(20.8),(22.6),(22.7),(22.4),(21.5),(24.1)
Wetlands Remaining Wetlands,(7.4),(7.48),(7.53),(7.47),(7.53),(7.42),(7.58),(7.41),(7.36),(7.29),(7.22),(6.54),(6.62),(6.64),(6.50),(6.55),2.18 ,2.49 ,2.48 ,2.52 ,2.53 ,(7.57),(7.95),(8.00),(8.00),(8.02),(8.05),(7.95),(7.99),(8.03),(8.08)
Land Converted to Wetlands,4.3 ,3.9,3.7,3.4,3.1,2.9,2.8,2.6,2.2,2.1,2.0,1.5,1.0,1.0,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3
Settlements Remaining Settlements,(109.6),(110.2),(108.4),(107.6),(105.9),(105.6),(106.6),(106.9),(108.7),(111.2),(112.5),(113.8),(112.9),(113.8),(115.4),(116.6),(117.2),(118.4),(121.4),(123.1),(123.7),(124.2),(124.1),(125.4),(126.5),(125.9),(123.8),(127.7),(127.3),(127.0),(126.1)
