Table 6-27:  Recalculations of the Net C Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT C),,,
Conversion category and Carbon pool (MMT C),"2019 Estimate, Previous Inventory ","2019 Estimate, Current Inventory","2020 Estimate, Current Inventory"
Cropland Converted to Forest Land,-10.9,-10.8,-10.8
Aboveground Biomass,-6.3,-6.3,-6.3
Belowground Biomass,-1.2,-1.2,-1.2
Dead Wood,-1.4,-1.4,-1.4
Litter,-1.9,-1.9,-1.9
Mineral soil,-0.1,-0.1,-0.1
Grassland Converted to Forest Land,-2.9,-3.2,-3.2
Aboveground Biomass,-1.3,-1.7,-1.7
Belowground Biomass,-0.3,-0.3,-0.3
Dead Wood,-0.3,-0.3,-0.3
Litter,-1.1,-1.1,-1.1
Mineral soil,0.1,0.1,0.1
Other Land Converted to Forest Land,-3,-3,-3
Aboveground Biomass,-1.3,-1.3,-1.3
Belowground Biomass,-0.2,-0.2,-0.2
Dead Wood,-0.4,-0.4,-0.4
Litter,-0.7,-0.7,-0.7
Mineral soil,-0.3,-0.3,-0.3
Settlements Converted to Forest Land,-9.4,-9.3,-9.3
Aboveground Biomass,-5.7,-5.7,-5.7
Belowground Biomass,-1.1,-1.1,-1.1
Dead Wood,-1.1,-1.1,-1.1
Litter,-1.5,-1.5,-1.5
Mineral soil,0,0,0
Wetlands Converted to Forest Land,-0.9,-0.9,-0.9
Aboveground Biomass,-0.4,-0.4,-0.4
Belowground Biomass,-0.1,-0.1,-0.1
Dead Wood,-0.1,-0.1,-0.1
Litter,-0.3,-0.3,-0.3
Mineral soil,0,0,0
Total Aboveground Biomass Flux,-15,-15.3,-15.3
Total Belowground Biomass Flux,-2.9,-2.9,-2.9
Total Dead Wood Flux,-3.2,-3.2,-3.2
Total Litter Flux,-5.6,-5.4,-5.4
Total SOC (mineral) Flux,-0.3,-0.3,-0.3
Total Flux,-27,-27.1,-27.1
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration. ,,,
