"Table 6-3:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbon Stock Change (CO2)a,"-892,027","-900,621","-891,243","-873,000","-889,578","-860,319","-883,345","-861,537","-863,863","-860,587","-862,629","-860,402","-831,230","-857,311","-775,757","-831,126","-855,058","-818,723","-802,499","-772,480","-791,423","-836,300","-837,712","-804,475","-814,371","-748,944","-862,045","-826,667","-809,026","-760,820","-812,176"
Forest Land Remaining Forest Land,"-773,993","-778,029","-777,829","-774,853","-768,284","-758,224","-760,875","-754,602","-749,844","-737,949","-716,176","-719,188","-682,577","-714,422","-634,518","-687,271","-708,127","-682,156","-666,955","-645,502","-675,716","-690,536","-684,480","-677,217","-698,600","-628,383","-725,571","-688,301","-677,101","-634,824","-668,057"
Land Converted to Forest Land,"-98,585","-98,599","-98,578","-98,623","-98,717","-98,742","-98,731","-98,705","-98,762","-98,773","-98,825","-98,865","-98,912","-98,960","-98,970","-99,068","-99,123","-99,127","-99,152","-99,188","-99,225","-99,260","-99,274","-99,310","-99,306","-99,379","-99,454","-99,523","-99,518","-99,520","-99,521"
Cropland Remaining Cropland,"-23,176","-29,038","-25,545","-11,609","-19,321","-12,053","-27,469","-19,119","-9,924","-18,019","-23,686","-27,178","-31,954","-24,118","-26,163","-29,002","-25,244","-29,170","-23,013","-13,952","-18,631","-31,754","-26,406","-15,324","-12,247","-12,826","-22,731","-22,293","-16,597","-14,544","-23,335"
Land Converted to Cropland,"51,784","52,572","53,170","52,456","52,799","57,056","56,126","59,222","55,897","56,112","55,300","55,764","53,408","53,220","51,993","52,032","50,940","51,069","53,338","53,540","54,943","51,952","53,200","54,074","55,227","55,779","54,107","54,273","53,975","53,935","54,380"
Grassland Remaining Grassland,"6,940","6,949","8,519","11,192","-1,864","6,246","5,229","9,192","2,978","7,195","-5,489","5,551","4,070","2,200","7,874","8,734","-4,130","10,113","3,008","4,099","18,544","15,798","1,579","14,330","18,058","11,963","7,958","9,308","9,670","12,425","4,497"
Land Converted to Grassland,"-3,141","-3,005","-2,645","-5,661","-11,294","-13,914","-17,598","-19,349","-25,724","-29,889","-35,157","-38,334","-38,550","-38,020","-37,454","-36,951","-38,050","-37,101","-34,020","-33,770","-32,641","-32,135","-31,203","-27,838","-22,395","-20,787","-22,553","-22,693","-22,397","-21,485","-24,101"
Wetlands Remaining Wetlands,"-7,399","-7,484","-7,530","-7,471","-7,528","-7,421","-7,581","-7,411","-7,364","-7,294","-7,224","-6,538","-6,618","-6,637","-6,500","-6,549","2,180","2,494","2,480","2,518","2,531","-7,574","-7,953","-7,999","-7,997","-8,021","-8,046","-7,954","-7,994","-8,034","-8,084"
Land Converted to Wetlands,4329,3921,3695,3434,3068,2880,2787,2629,2196,2084,2026,1483,1019,978,811,807,781,767,620,597,596,37,35,38,45,246,254,258,265,271,279
Settlements Remaining Settlements,"-109,567","-110,242","-108,393","-107,564","-105,942","-105,626","-106,639","-106,950","-108,724","-111,202","-112,539","-113,814","-112,947","-113,840","-115,352","-116,642","-117,162","-118,402","-121,398","-123,129","-123,700","-124,219","-124,087","-125,396","-126,550","-125,854","-123,794","-127,679","-127,299","-126,977","-126,128"
Land Converted to Settlements,"60,793","62,332","63,893","65,699","67,504","69,481","71,405","73,554","75,409","77,149","79,142","80,716","81,833","82,289","82,522","82,784","82,878","82,790","82,594","82,306","81,875","81,392","80,877","80,168","79,394","78,317","77,784","77,938","77,970","77,932","77,895"
CH4,"1,088","1,062","1,015","1,013","1,074","1,001","1,047",990,"1,004","1,080","1,174","1,050","1,249","1,156","1,326","1,235","1,162","1,262","1,121","1,164","1,017","1,115","1,170","1,171","1,074","1,441","1,131","1,359","1,226","1,022","1,522"
Forest Land Remaining Forest Land: Forest Firesb,92,70,22,23,81,15,48,8,23,89,183,71,276,184,360,260,167,280,150,188,49,123,186,203,98,463,154,381,249,45,545
Forest Land Remaining Forest Land: Drained Organic Soilsd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grassland Remaining Grassland: Grassland Firesc,3,3,5,4,11,6,18,3,5,17,17,9,8,8,3,13,32,20,10,15,7,32,23,8,16,13,11,12,12,12,12
Wetlands Remaining Wetlands: Flooded Land Remaining Flooded Land,729.4,736.6,741,745.7,752,755.4,757.2,760.1,768.3,770.3,771.5,780.8,788.4,789.3,792.1,792.2,792.7,792.9,795.3,795.7,795.7,795.9,796.5,796.6,796.6,796.7,796.7,796.8,796.9,796.9,797
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,149,150,150,150,150,151,151,151,152,152,152,152,152,152,151,151,151,151,151,151,151,151,151,152,152,152,153,153,153,153,154
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Land Converted to Wetlands: Land Converted to Flooded Lands,103,92,86,79,69,64,61,57,44,42,40,26,14,13,9,9,8,8,4,3,3,3,3,3,3,7,7,7,7,7,7
Land Converted to Wetlands: Land Converted to Coastal Wetlands,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7,7
N2O,14,14,12,12,17,12,17,11,12,19,27,18,32,26,44,35,30,36,27,30,17,26,29,26,21,43,24,39,31,16,51
Forest Land Remaining Forest Land: Forest Firesb,6,6,2,2,7,2,5,1,2,7,14,6,21,14,31,21,14,21,13,16,7,13,17,16,9,33,13,27,19,4,39
Forest Land Remaining Forest Land: Forest Soilsf,+ ,+ ,+ ,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Forest Land Remaining Forest Land: Drained Organic Soilsd,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Grassland Remaining Grassland: Grassland Firesc,+ ,+ ,+ ,+ ,1,1,2,+ ,+ ,2,2,1,1,1,+ ,1,3,2,1,1,1,3,2,1,1,1,1,1,1,1,1
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,+ ,+ ,1,+ ,+ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Settlements Remaining Settlements: Settlement Soilse,7,7,8,8,8,8,8,8,7,7,9,9,8,8,11,10,11,11,11,10,7,8,7,7,7,7,8,8,8,8,8
+ Absolute value does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
