"Table 6-32:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes in Land Converted to Cropland by Land Use Change Category (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grassland Converted to Cropland,6.9,7.7,8.6,7.8,8.1,12.4,11.5,14.7,11.4,11.7,11.4,11.9,9.4,9.0,7.6,7.5,6.3,6.2,8.3,8.4,9.8,6.7,7.9,8.6,9.7,10.2,8.5,8.7,8.5,8.4,8.8
Mineral Soils,4.1,4.9,5.8,4.7,4.8,8.9,8.0,11.3,7.6,7.9,7.8,7.4,4.9,4.8,4.0,4.0,2.8,2.9,5.0,5.3,6.7,3.7,4.5,5.2,6.2,6.9,5.2,5.4,5.1,5.1,5.5
Organic Soils,2.7,2.8,2.8,3.1,3.2,3.5,3.5,3.4,3.8,3.8,3.6,4.5,4.5,4.1,3.6,3.5,3.5,3.3,3.4,3.1,3.1,3.1,3.4,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3
Forest Land Converted to Cropland,46.3,46.4,46.4,46.4,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.6,46.5,46.6,46.6,46.6,46.7,46.7,46.8,46.8,46.9,46.9,47.0,47.1,47.2,47.2,47.3,47.3,47.3,47.3,47.3
Aboveground Live Biomass,27.4,27.4,27.4,27.5,27.5,27.5,27.5,27.5,27.6,27.6,27.6,27.6,27.7,27.7,27.7,27.7,27.8,27.8,27.8,27.9,27.9,28.0,28.0,28.1,28.1,28.1,28.2,28.2,28.2,28.2,28.2
Belowground Live Biomass,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Dead Wood ,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Litter ,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Mineral Soils,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Organic Soils,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
Other Lands Converted to Cropland,-2.2,-2.2,-2.5,-2.6,-2.8,-2.8,-2.9,-3.0,-3.0,-3.1,-3.5,-3.5,-3.3,-3.1,-3.0,-2.9,-2.9,-2.6,-2.4,-2.3,-2.4,-2.4,-2.3,-2.3,-2.0,-2.0,-2.1,-2.2,-2.2,-2.3,-2.3
Mineral Soils,-2.3,-2.4,-2.5,-2.7,-2.9,-2.9,-3.0,-3.1,-3.1,-3.2,-3.6,-3.6,-3.4,-3.2,-3.1,-2.9,-2.9,-2.7,-2.5,-2.4,-2.4,-2.4,-2.3,-2.3,-2.0,-2.0,-2.1,-2.2,-2.2,-2.3,-2.3
Organic Soils,0.2,0.2,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0,0,0,0,0,0,0,0
Settlements Converted to Cropland,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mineral Soils,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Wetlands Converted to Cropland,0.8,0.8,0.8,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6
Mineral Soils,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Organic Soils,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4
Aboveground Live Biomass,27.4,27.4 ,27.4 ,27.5 ,27.5 ,27.5 ,27.5 ,27.5 ,27.6 ,27.6 ,27.6 ,27.6 ,27.7 ,27.7 ,27.7 ,27.7 ,27.8 ,27.8 ,27.8 ,27.9 ,27.9 ,28.0 ,28.0 ,28.1 ,28.1 ,28.1 ,28.2,28.2,28.2,28.2,28.2
Belowground Live Biomass,5.3,5.3 ,5.3 ,5.3 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.5 ,5.5 ,5.5 ,5.5 ,5.5,5.5,5.5,5.5,5.5
Dead Wood ,5.4,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.4 ,5.5 ,5.5 ,5.5 ,5.5 ,5.5 ,5.5 ,5.5,5.5,5.5,5.5,5.5
Litter ,7.7,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.9 ,7.9 ,7.9 ,7.9 ,7.9 ,7.9 ,7.9 ,8.0 ,8.0 ,8,8,8,8,8
Total Mineral Soil Flux,2.3,3.0 ,3.7 ,2.5 ,2.5 ,6.5 ,5.5 ,8.6 ,4.9 ,5.1 ,4.6 ,4.1 ,1.8 ,2.0 ,1.3 ,1.3 ,0.2 ,0.5 ,2.7 ,3.1 ,4.5 ,1.5 ,2.5 ,3.1 ,4.4 ,5.0 ,3.3,3.4,3.1,3,3.5
Total Organic Soil Flux,3.7,3.7 ,3.6 ,4.1 ,4.3 ,4.6 ,4.7 ,4.5 ,4.9 ,4.9 ,4.6 ,5.4 ,5.3 ,4.9 ,4.4 ,4.3 ,4.3 ,4.0 ,4.0 ,3.8 ,3.7 ,3.7 ,3.9 ,4.0 ,3.8 ,3.7 ,3.7,3.7,3.7,3.7,3.8
Total Net Flux,51.8,52.6 ,53.2 ,52.5 ,52.8 ,57.1 ,56.1 ,59.2 ,55.9 ,56.1 ,55.3 ,55.8 ,53.4 ,53.2 ,52.0 ,52.0 ,50.9 ,51.1 ,53.3 ,53.5 ,54.9 ,52.0 ,53.2 ,54.1 ,55.2 ,55.8 ,54.1,54.3,54,53.9,54.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
