"Table 6-33:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes in Land Converted to Cropland (MMT C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grassland Converted to Cropland,1.9 ,2.1 ,2.3 ,2.1 ,2.2 ,3.4 ,3.1 ,4.0 ,3.1 ,3.2 ,3.1 ,3.2 ,2.6 ,2.4 ,2.1 ,2.0 ,1.7 ,1.7 ,2.3 ,2.3 ,2.7 ,1.8 ,2.2 ,2.4 ,2.6 ,2.8 ,2.3 ,2.4 ,2.3 ,2.3 ,2.4 
Mineral Soils,1.1 ,1.3 ,1.6 ,1.3 ,1.3 ,2.4 ,2.2 ,3.1 ,2.1 ,2.2 ,2.1 ,2.0 ,1.3 ,1.3 ,1.1 ,1.1 ,0.8 ,0.8 ,1.4 ,1.4 ,1.8 ,1.0 ,1.2 ,1.4 ,1.7 ,1.9 ,1.4 ,1.5 ,1.4 ,1.4 ,1.5 
Organic Soils,0.7 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,1.0 ,0.9 ,1.0 ,1.0 ,1.0 ,1.2 ,1.2 ,1.1 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 
Forest Land Converted to Cropland,12.6 ,12.6 ,12.6 ,12.6 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.7 ,12.8 ,12.8 ,12.8 ,12.8 ,12.8 ,12.8 ,12.9 ,12.9 ,12.9 ,12.9 ,12.9 ,12.9 ,12.9 
Aboveground Live Biomass,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.5 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.6 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 
Belowground Live Biomass,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 
Dead Wood ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 
Litter ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 
Mineral Soils,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Organic Soils,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
