Table 6-38:  Approach 2 Quantitative Uncertainty Estimates for C Stock Changes Occurring Within Grassland Remaining Grassland (MMT CO2 Eq. and Percent),,,,,
Source,2020 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
Woodland Biomass: Aboveground live biomass,0.2,0.2,0.2,-31%,31%
   Belowground live biomass,0.1,0.1,0.1,-16%,16%
   Dead wood ,2.3,1.8,2.8,-22%,22%
   Litter ,-0.2,-0.4,+,-104%,104%
"Mineral Soil C Stocks Grassland Remaining Grassland, Tier 3 Methodology",-2.3,-148.4,143.9,-6479%,6479%
"Mineral Soil C Stocks: Grassland Remaining Grassland, Tier 2 Methodology",-0.9,-9.9,8.1,-986%,986%
"Mineral Soil C Stocks: Grassland Remaining Grassland, Tier 2 Methodology (Change in Soil C due to Biosolids [i.e., Treated Sewage Sludge] Amendments)",-0.2,-0.3,-0.1,-50%,50%
"Organic Soil C Stocks: Grassland Remaining Grassland, Tier 2 Methodology",5.4,1.2,9.6,-77%,77%
Combined Uncertainty for Flux Associated with Carbon Stock Changes Occurring in Grassland Remaining Grassland,4.5,-142,150.9,-3256%,3256%
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
