"Table 6-45:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Grassland (MMT C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cropland Converted to Grassland,(5.0),(4.9),(4.8),(4.8),(5.2),(5.2),(5.4),(5.3),(6.3),(6.5),(6.9),(6.9),(6.9),(6.8),(6.6),(6.4),(6.7),(6.4),(5.6),(5.5),(5.2),(4.9),(4.6),(4.4),(4.0),(4.2),(4.8),(4.9),(4.9),(4.7),(5.4)
Mineral Soils,(5.2),(5.1),(5.0),(5.0),(5.4),(5.4),(5.6),(5.5),(6.5),(6.7),(7.2),(7.2),(7.3),(7.1),(7.0),(6.8),(7.1),(6.8),(5.9),(5.9),(5.5),(5.3),(5.0),(4.8),(4.3),(4.6),(5.2),(5.3),(5.3),(5.1),(5.7)
Organic Soils,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 
Forest Land Converted to Grassland,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.3 ,5.2 ,5.2 ,5.2 ,5.2 ,5.1 ,5.1 ,5.1 ,5.0 ,5.0 ,4.9 ,4.9 ,4.9 ,4.9 ,4.9 
Aboveground Live Biomass,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.3 ,3.3 ,3.3 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 
Belowground Live Biomass,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 
Dead Wood ,(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1)
Litter ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 
Mineral Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
Other Lands Converted to Grassland,(1.1),(1.2),(1.2),(2.0),(3.1),(3.8),(4.6),(5.1),(5.8),(6.7),(7.7),(8.6),(8.6),(8.6),(8.6),(8.6),(8.6),(8.6),(8.6),(8.7),(8.7),(8.7),(8.7),(8.0),(6.9),(6.2),(6.1),(6.0),(6.0),(5.9),(5.9)
Mineral Soils,(1.2),(1.2),(1.2),(2.0),(3.1),(3.8),(4.6),(5.1),(5.8),(6.7),(7.7),(8.6),(8.6),(8.6),(8.6),(8.6),(8.6),(8.7),(8.7),(8.7),(8.7),(8.7),(8.7),(8.0),(7.0),(6.3),(6.1),(6.1),(6.0),(5.9),(6.0)
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Settlements Converted to Grassland,+,+,+,(0.1),(0.1),(0.2),(0.2),(0.2),(0.3),(0.3),(0.3),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.2),(0.3)
Mineral Soils,+,+,+,(0.1),(0.1),(0.2),(0.2),(0.2),(0.3),(0.3),(0.3),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.4),(0.3),(0.3),(0.3),(0.3),(0.3),(0.3),(0.2),(0.3)
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Wetlands Converted to Grassland,+,+,+,+,+,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 
Mineral Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Organic Soils,+,+,+,+,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 
Aboveground Live Biomass,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.3 ,3.3 ,3.3 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 ,3.2 
Belowground Live Biomass,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 
Dead Wood ,(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1)
Litter ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 
Total Mineral Soil Flux,(6.4),(6.3),(6.3),(7.1),(8.7),(9.4),(10.4),(10.9),(12.7),(13.8),(15.3),(16.2),(16.3),(16.1),(16.0),(15.9),(16.1),(15.9),(15.0),(14.9),(14.6),(14.4),(14.1),(13.2),(11.6),(11.1),(11.6),(11.6),(11.5),(11.3),(12.0)
Total Organic Soil Flux,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 
Total Net Flux,(0.9),(0.8),(0.7),(1.5),(3.1),(3.8),(4.8),(5.3),(7.0),(8.2),(9.6),(10.5),(10.5),(10.4),(10.2),(10.1),(10.4),(10.1),(9.3),(9.2),(8.9),(8.8),(8.5),(7.6),(6.1),(5.7),(6.2),(6.2),(6.1),(5.9),(6.6)
+ Does not exceed 0.05 MMT C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
