Table 6-75:  Surface and Downstream CH4 Emissions (kt CH4) from Reservoirs and Associated Inundation Areas in Flooded Land Remaining Flooded Land in 2020,,,,,,
,,,,,,
,Reservoir,,Inundation area,,Total,
State,Downstream,Ssurface,Downstream,Surface,Downstream,Surface
Alabama,2,19,+,+,2,19
Arizona,1,12,+,1,1,14
Arkansas,2,17,+,1,2,17
California,2,24,+,1,2,26
Colorado,+,5,+,+,+,6
Connecticut,+,2,+,+,+,2
Delaware,+,1,NO,NO,+,1
District of Columbia,+,+,NO,NO,+,+
Florida,4,47,NO,NO,4,47
Georgia,3,33,+,+,3,33
Idaho,1,8,+,+,1,8
Illinois,1,9,+,1,1,10
Indiana,+,3,+,1,+,3
Iowa,+,4,+,2,1,6
Kansas,1,6,+,3,1,9
Kentucky,1,10,+,1,1,11
Louisiana,3,33,+,1,3,33
Maine,1,11,NO,NO,1,11
Maryland,1,11,+,+,1,11
Massachusetts,+,3,+,+,+,3
Michigan,1,6,+,+,1,6
Minnesota,2,19,NO,NO,2,19
Mississippi,1,12,+,3,1,15
Missouri,1,13,+,2,1,14
Montana,1,10,+,+,1,10
Nebraska,+,3,+,+,+,3
Nevada,2,18,+,+,2,18
New Hampshire,+,3,+,+,+,3
New Jersey,+,3,NO,NO,+,3
New Mexico,+,3,+,2,+,5
New York,1,10,+,+,1,11
North Carolina,2,19,+,1,2,20
North Dakota,1,10,+,+,1,10
Ohio,+,4,+,1,+,5
Oklahoma,2,19,+,5,2,24
Oregon,1,11,NO,NO,1,11
Pennsylvania,+,4,+,+,+,5
Rhode Island,+,1,NO,NO,+,1
South Carolina,2,23,NO,NO,2,23
South Dakota,1,8,+,+,1,8
Tennessee,1,16,+,1,1,16
Texas,9,99,2,20,11,119
Utah,2,18,+,+,2,18
Vermont,+,2,+,+,+,2
Virginia,2,18,+,+,2,19
Washington,2,18,+,+,2,18
West Virginia,+,2,+,+,+,2
Wisconsin,1,10,NO,NO,1,10
Wyoming,+,4,+,+,+,4
+ Indicates values less than 0.5 kt ,,,,,,
NO (Not Occurring)–Indicates no reservoir or inundation area in the state. ,,,,,,
Note: Alaska and Hawaii not included.,,,,,,
