Table 6-79:  Approach 2 Quantitative Uncertainty Estimates for CH4 Emissions from Reservoirs and Associated Inundation Areas in Flooded Land Remaining Flooded Land,,,,,,
Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower Bound,Upper Bound,Lower Bound,Upper Bound
Reservoir,,,,,,
Surface,CH4,16.1,15.7,16.4,-2%,2%
Downstream,CH4,1.5,1.4,1.8,-6.90%,22.40%
Inundation Area,,,,,,
Surface,CH4,1.2,1.2,1.2,-2.30%,2.50%
Downstream,CH4,0.1,0.1,0.1,-10.10%,17.50%
Total,CH4,18.8,18.5,19.3,-1.80%,2.60%
a Range of emission estimates predicted by Monte Carlo stochastic simulation for a 95 percent confidence interval.,,,,,,
