Table 6-8:  Net CO2 Flux from Forest Ecosystem Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Forest Ecosystem ,-650.2,-654.2,-657.1,-652.4,-649.9,-646.0,-643.5,-640.4,-630.8,-625.1,-622.7,-621.0,-588.8,-610.4,-529.1,-581.2,-607.8,-606.0,-612.5,-584.7,-606.7,-619.5,-608.0,-594.5,-612.7,-536.9,-630.4,-588.1,-583,-546,-584.4
,Aboveground Biomass,-462.5,-461.2,-459.4,-456.2,-453.5,-450.9,-447.9,-445.2,-441.8,-438.2,-435.4,-432.0,-422.8,-424.5,-412.0,-416.3,-420.0,-419.6,-421.2,-418.1,-421.4,-428.1,-417.2,-418.8,-420.9,-411.8,-432.7,-407.7,-406.6,-393.1,-398.7
,Belowground Biomass,-94.2,-93.9,-93.4,-92.8,-92.2,-91.6,-91.0,-90.4,-89.7,-88.9,-88.3,-87.5,-85.7,-85.9,-83.7,-84.2,-84.7,-84.5,-84.8,-84.2,-84.7,-84.8,-85.6,-83.7,-83.9,-82.4,-86.3,-80.9,-80.8,-78.1,-79.1
,Dead Wood,-96.8,-97.6,-98.5,-98.4,-98.6,-98.7,-98.9,-99.1,-98.2,-98.4,-98.5,-98.8,-96.2,-98.7,-90.2,-96.8,-99.5,-99.4,-100.5,-97.3,-100.1,-102.8,-100.4,-98.4,-100.9,-96.7,-106.4,-99.8,-102,-97,-101.5
,Litter,0.6,-4.0,-8.4,-7.4,-8.0,-7.0,-7.6,-7.4,-2.7,-1.0,-1.6,-3.6,15.1,-1.9,56.5,16.0,-3.4,-2.0,-5.4,15.9,0.8,-2.6,-3.3,8.6,-2.7,51.4,-3.1,-1.9,1.3,22.8,-1.9
,Soil (Mineral),3,2.7,2.6,2.5,2.4,2.2,1.8,1.6,1.4,1.1,0.9,0.7,0.4,0.2,-0.1,-0.3,-0.7,-1.0,-1.3,-1.6,-1.9,-2.0,-2.3,-3.0,-3.7,0.1,-5.6,-1.1,4.1,-0.6,-4.1
,Soil (Organic),-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.5,-0.5,-0.5,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.1,-0.1,0.0,0.1,0.1,-1.3,1.9,3.0,2.5,0.3,-0.7,0.2
,Drained Organic Soila,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
,Harvested Wood,-123.8,-123.8,-120.7,-122.5,-118.4,-112.2,-117.3,-114.2,-119.0,-112.9,-93.4,-98.2,-93.7,-104.1,-105.4,-106.0,-100.3,-76.1,-54.5,-60.8,-69.1,-71.0,-76.5,-82.7,-85.9,-91.5,-95.1,-100.2,-94.1,-88.8,-83.6
,Products in Use,-54.8,-59.9,-54.9,-58.4,-55.2,-51.7,-54.0,-49.1,-51.7,-47.0,-31.9,-35.1,-34.5,-44.4,-45.4,-42.6,-36.6,-13.5,6.6,0.0,-7.4,-8.7,-13.6,-19.4,-22.2,-27.2,-30.4,-34.9,-29,-24.4,-20
