Table 6-85:  State Totals of Surface Area (ha) in Flooded Land Remaining Flooded Land— Other Constructed Waterbodies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,"3,007","3,045","3,094","3,139","3,156","3,173","3,185","3,195","3,214","3,236","3,242","3,244","3,244","3,244","3,244","3,244","3,244","3,244","3,244","3,244","3,247","3,247","3,247","3,247","3,252","3,252","3,252","3,252","3,255","3,255","3,255"
Arizona,459,459,463,472,478,484,484,484,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,493,493,493
Arkansas,"3,796","3,831","3,872","3,911","3,958","3,961","3,989","3,998","4,012","4,029","4,029","4,046","4,046","4,046","4,050","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051","4,051"
California,"6,022","6,045","6,045","6,058","6,064","6,071","6,075","6,078","6,084","6,089","6,100","6,100","6,100","6,100","6,100","6,106","6,107","6,111","6,115","6,119","6,120","6,120","6,120","6,120","6,120","6,120","6,120","6,120","6,120","6,122","6,122"
Colorado,"3,227","3,249","3,271","3,289","3,311","3,331","3,337","3,347","3,353","3,359","3,360","3,363","3,363","3,363","3,363","3,367","3,367","3,367","3,367","3,367","3,367","3,367","3,367","3,367","3,367","3,378","3,381","3,381","3,390","3,390","3,390"
Connecticut,"1,180","1,180","1,186","1,203","1,211","1,214","1,221","1,223","1,223","1,223","1,223","1,223","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226"
Delaware,481,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488
District of Columbia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Florida,"5,169","5,177","5,189","5,192","5,192","5,204","5,210","5,210","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,214","5,225","5,225","5,225","5,225","5,228","5,228"
Georgia,"8,069","8,196","8,302","8,403","8,460","8,491","8,509","8,577","8,607","8,641","8,650","8,662","8,664","8,669","8,673","8,673","8,673","8,676","8,676","8,676","8,680","8,681","8,687","8,687","8,687","8,687","8,687","8,687","8,687","8,687","8,687"
Idaho,389,389,389,392,415,415,420,430,430,430,430,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433
Illinois,"2,998","3,048","3,075","3,138","3,208","3,240","3,272","3,292","3,295","3,296","3,307","3,307","3,307","3,311","3,311","3,318","3,323","3,326","3,326","3,328","3,330","3,334","3,334","3,336","3,336","3,344","3,344","3,345","3,350","3,350","3,350"
Indiana,756,764,778,784,792,805,820,825,831,835,835,835,836,836,836,836,836,836,836,836,836,836,843,843,843,843,843,843,843,843,843
Iowa,"2,529","2,676","2,869","2,968","3,065","3,152","3,244","3,353","3,427","3,479","3,532","3,536","3,546","3,548","3,562","3,574","3,576","3,583","3,591","3,591","3,591","3,591","3,591","3,595","3,595","3,596","3,596","3,596","3,596","3,600","3,607"
