Table 6-89:  CH4 Emissions from Land Converted to Vegetated Coastal Wetlands (MMT CO2 Eq. and kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cropland Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 Emissions (MMT CO2 Eq.),,,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
CH4 Emissions (kt CH4),,,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05
Forest Land Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 Emissions (MMT CO2 Eq.),,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15
CH4 Emissions (kt CH4),,,,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.85,9.82,9.80,9.77,9.74,9.76,9.78,9.80,9.81,9.83,9.46,9.09,8.71,8.34,7.97,7.60,7.22,6.85,6.48,6.10
Grassland Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 Emissions (MMT CO2 Eq.),,,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
CH4 Emissions (kt CH4),,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08
Other Land Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 Emissions (MMT CO2 Eq.),,,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CH4 Emissions (kt CH4),,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.10,0.12,0.13,0.14,0.15,0.15,0.15,0.16,0.16,0.20,0.23,0.26,0.30,0.33,0.37,0.40,0.43,0.47,0.50
Settlements Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 Emissions (MMT CO2 Eq.),,,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
CH4 Emissions (kt CH4),,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Total CH4 Emissions (MMT CO2 Eq.),,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.19,0.18,0.18,0.17
Total CH4 Emissions (kt CH4),,,,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.96,9.94,9.93,9.92,9.91,9.93,9.96,9.98,10.01,10.04,9.70,9.37,9.04,8.71,8.38,8.05,7.72,7.39,7.06,6.73
+ Absolute value does not exceed 0.005 MMT CO2 Eq. or 0.005 kt CH4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
