Table 6-90:  Approach 1 Quantitative Uncertainty Estimates for C Stock Changes occurring within Land Converted to Vegetated Coastal Wetlands in 2020 (MMT CO2 Eq. and Percent),,,,,
,,,,,
Source,2020 Estimate,Uncertainty Range Relative to Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Biomass C Stock Flux,0.12,0.1,0.15,-20.00%,20.00%
Dead Organic Matter Flux,0.03,0.02,0.03,-25.80%,25.80%
Soil C Stock Flux,-0.16,-0.2,-0.1,-17.80%,17.80%
Methane Emissions,0.17,0.12,0.22,-29.90%,29.90%
Total Uncertainty,0.16,0.09,0.23,-42.20%,42.20%
a Range of flux estimates based on error propagation at 95 percent confidence interval. ,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,
