Table 6-95: Methane and CO2 Emissions (kt) from Reservoirs and Associated Inundation Areas in Land Converted to Flooded Land in 2020 ,,,,,,,,,
,,,,,,,,,
,Reservoir,,,Inundation Area,,,Total,,
,CH4,,CO2a,CH4,,CO2 a,CH4,,CO2a
State,Downstream,Surface,Surface,Downstream,Surface,Surface,Downstream,Surface,Surface
Alabama,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0
California,+,+,+,0,0,0,+,+,+
Colorado,+,+,+,0,0,0,+,+,+
Connecticut,+,+,+,0,0,0,+,+,+
Delaware,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Idaho,+,+,1,0,0,0,+,+,1
Illinois,+,+,6,0,0,0,+,+,6
Indiana,0,0,0,0,0,0,0,0,0
Iowa,+,+,8,0,0,0,+,+,8
Kansas,+,+,1,0,0,0,+,+,1
Kentucky,0,0,0,0,0,0,0,0,0
Louisiana,+,+,+,0,0,0,+,+,+
Maine,+,+,+,0,0,0,+,+,+
Maryland,0,0,0,0,0,0,0,0,0
Massachusetts,+,+,5,0,0,0,+,+,5
Michigan,+,+,+,0,0,0,+,+,+
Minnesota,+,5,215,+,+,5,+,5,220
Mississippi,+,+,+,0,0,0,+,+,+
Missouri,0,0,0,0,0,0,0,0,0
Montana,+,+,7,+,+,3,+,+,9
Nebraska,+,+,+,0,0,0,+,+,+
Nevada,+,+,+,0,0,0,+,+,+
New Hampshire,+,+,1,0,0,0,+,+,1
New Jersey,0,0,0,0,0,0,0,0,0
New Mexico,+,+,+,0,0,0,+,+,+
New York,+,+,+,0,0,0,+,+,+
North Carolina,+,+,1,0,0,0,+,+,1
North Dakota,+,1,23,0,0,0,+,1,23
Ohio,+,+,+,0,0,0,+,+,+
Oklahoma,+,+,+,0,0,0,+,+,+
Oregon,+,+,1,0,0,0,+,+,1
Pennsylvania,+,+,+,0,0,0,+,+,+
Rhode Island,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0
South Dakota,+,+,+,0,0,0,+,+,+
Tennessee,+,+,3,0,0,0,+,+,3
Texas,+,+,+,0,0,0,+,+,+
Utah,+,+,+,0,0,0,+,+,+
Vermont,0,0,0,0,0,0,0,0,0
Virginia,+,+,+,0,0,0,+,+,+
Washington,+,+,+,0,0,0,+,+,+
West Virginia,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0
+ Indicates values less than 0.5 kt.,,,,,,,,,
a CO2: Only surface CO2 emissions are included in the Inventory.,,,,,,,,,
"Note: Alaska, Hawaii, and U.S. Territories are not included.",,,,,,,,,
