Table 6-98: State breakdown of Reservoirs and Associated Inundation Area Surface Area (thousands of ha) in Land Converted to Flooded Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,32.3,28.4,28.4,28.2,7.5,3.6,3.4,3.2,2.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,32.1,15.8,15.5,15.2,15.0,12.3,12.0,10.4,10.3,10.2,10.2,10.2,10.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,10.7,5.8,5.6,3.8,3.2,1.7,1.7,1.6,1.6,1.9,1.6,1.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.0
Colorado,5.8,5.6,5.6,3.3,3.1,2.7,2.6,2.1,1.4,1.2,1.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Connecticut,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,10.4,9.9,6.6,6.5,6.3,4.8,4.8,4.6,4.2,4.1,3.7,3.7,3.7,3.7,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,10.2,10.0,9.8,9.6,0.4,0.3,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,10.1,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Illinois,19.6,9.9,8.6,8.6,8.0,6.3,6.4,3.7,3.2,2.9,2.6,3.2,3.2,3.1,3.1,3.1,3.1,1.6,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.3,1.2,1.2,1.1,1.1
Indiana,6.2,5.9,5.8,5.7,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,11.4,11.1,2.8,3.0,0.9,0.9,0.7,0.5,0.5,0.4,0.2,0.2,0.2,0.3,0.6,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.6,2.1,2.1,2.1,2.1,2.1
Kansas,26.7,25.5,25.3,25.2,25.0,21.8,21.6,16.5,16.4,16.2,16.2,12.6,12.7,12.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Kentucky,0.6,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,16.9,11.4,6.0,6.0,4.6,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,13.2,13.1,14.4,11.7,9.6,9.4,9.3,9.3,9.3,9.3,8.0,6.1,6.1,6.1,3.4,3.4,3.4,3.4,1.5,1.5,1.5,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Maryland,0.3,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,1.0,0.8,0.8,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.9,0.9,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2
Michigan,12.8,10.3,9.9,8.5,8.2,7.9,7.5,3.6,3.2,3.0,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.0,2.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Minnesota,9.0,8.7,8.8,9.7,9.6,8.2,8.2,6.5,5.1,5.1,4.7,4.6,9.2,9.2,9.1,9.1,10.5,9.7,9.7,8.6,8.6,9.3,8.9,7.9,7.9,59.7,59.7,58.9,58.9,58.9,58.9
Mississippi,6.0,5.5,5.2,4.9,4.3,4.0,3.5,3.4,3.0,2.6,2.6,2.6,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,56.7,56.0,55.5,55.0,54.7,47.5,46.2,46.0,4.0,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montana,8.5,8.5,7.7,1.7,1.6,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,3.8,3.8,3.8,3.8,3.8,3.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Nebraska,5.5,5.3,5.3,4.9,4.5,4.5,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.3,3.3,1.3,1.3,1.3,1.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
Nevada,1.3,1.2,1.2,1.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
New Jersey,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,2.4,2.3,2.2,2.1,1.8,1.8,1.8,1.6,1.6,1.6,1.4,1.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
North Carolina,19.2,18.8,18.2,15.1,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
North Dakota,159.4,160.8,160.8,160.5,159.7,159.7,159.7,159.3,159.3,152.4,152.2,22.1,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,0.9,6.8,6.8,6.7,6.7,6.7,6.2,6.2,6.2,6.2
Ohio,3.1,2.4,2.2,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,19.6,18.5,17.8,17.6,17.0,14.4,7.7,7.5,4.2,3.9,3.8,3.8,3.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,3.9,3.8,3.8,3.7,3.7,3.2,1.8,1.8,1.8,1.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
