"Table 7-25:  Wastewater Outflow (m3/ton) for Pulp, Paper, and Paperboard Mills",,
,,
,Year,Wastewater Outflow (m3/ton)
,1990,68
,1991,67
,1992,66
,1993,64
,1994,63
,1995,53
,1996,52
,1997,51
,1998,50
,1999,48
,2000,47
,2001,46
,2002,45
,2003,44
,2004,43
,2005,43
,2006,42
,2007,43
,2008,43
,2009,42
,2010,40
,2011,40
,2012,40
,2013,40
,2014,39
,2015,40
,2016,40
,2017,39
,2018,40
,2019,40
,2020,40
,"Sources: ERG (2013a), AF&PA (2014), AF&PA (2016), AF&PA (2018), AF&PA (2020).",
