Table 7-39:  Approach 2 Quantitative Uncertainty Estimates for 2020 Emissions from Wastewater Treatment (MMT CO2 Eq. and Percent),,,,,,,,,
,,,,,,,,,
,Source,Gas,2020 Emission Estimate,,Uncertainty Range Relative to Emission Estimatea,,,,
,,,(MMT CO2 Eq.),,(MMT CO2 Eq.),,(%),,
,,,,,Lower,Upper,,Lower,Upper
,,,,,Bound,Bound,,Bound,Bound
,Wastewater Treatment,CH4,18.3,,11.8,22.4,,-35%,23%
,Domestic,CH4,11.8,,6.5,14.9,,-45%,26%
,Industrial,CH4,6.4,,3.7,10.3,,-42%,60%
,Wastewater Treatment,N2O,23.5,,15.3,69.3,,-35%,194%
,Domestic,N2O,23,,14.4,68.2,,-38%,196%
,Industrial,N2O,0.5,,0.5,1.6,,-1%,207%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,,,
