"Table 7-50:  Emissions of NOx, CO, NMVOC, and SO2 from Waste (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,NOx,+ ,1 ,1 ,5 ,4 ,1 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,1 ,1,1,1,1
,Landfills,+ ,+ ,+ ,1 ,1 ,1 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,1 ,1,1,1,1
,Wastewater Treatment,+ ,+ ,+ ,+ ,+ ,+ ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0
,Miscellaneousa,+ ,1 ,1 ,4 ,3 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0
,CO,1,1 ,2 ,2 ,3 ,2 ,5 ,5 ,5 ,13 ,8 ,8 ,7 ,7 ,7 ,7 ,6 ,6 ,6 ,5 ,5 ,5 ,6 ,7 ,8 ,7 ,6 ,5,5,5,5
,Landfills,1,1 ,2 ,2 ,2 ,2 ,5 ,5 ,5 ,12 ,7 ,7 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,4 ,5 ,7 ,8 ,7 ,6 ,5,5,5,5
,Wastewater Treatment,+ ,+ ,+ ,+ ,+ ,+ ,0 ,0 ,0 ,1 ,1 ,1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,+ ,+ ,+ ,+ ,+ ,+ 
,Miscellaneousa,+ ,+ ,+ ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0
,NMVOCs,673,680,686,693,701,731,158,157,161,140,119,122,115,115,115,114,94,74,54,49,44,38,48,58,68,63,57,52,52,52,52
,Wastewater Treatment,57,58,61,63,64,61,61,62,63,59,51,53,50,50,50,49,41,32,23,21,19,17,21,25,29,27,25,22,22,22,22
,Miscellaneousa,557,562,563,563,564,602,65,63,65,54,46,46,44,44,44,43,36,28,20,19,17,15,18,22,26,24,22,20,20,20,20
,Landfills,58,60,63,67,73,68,32,32,33,27,23,23,22,22,22,22,18,14,10,9,8,7,9,11,13,12,11,10,10,10,10
,SO2,+ ,1 ,1 ,8 ,6 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,1 ,1 ,1 ,1 ,1 ,1,1,1,1
,Landfills,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,+ ,+ ,1 ,1 ,1 ,1 ,1 ,1,1,1,1
,Wastewater Treatment,+ ,+ ,+ ,+ ,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Miscellaneousa,+ ,1 ,1 ,8 ,5 ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Miscellaneous includes TSDFs (Treatment, Storage, and Disposal Facilities under the Resource Conservation and Recovery Act [42 U.S.C. § 6924, SWDA § 3004]) and other waste categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
