Table 7-7:  CH4 and N2O Emissions from Domestic and Industrial Wastewater Treatment (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CH4,20.3,20.6,21.0,21.0,21.2,21.0,20.8,20.9,20.9,21.0,20.9,20.6,20.6,20.5,20.3,20.1,20.1,20.0,19.9,19.5,19.3,19.3,19.3,18.9,18.7,18.9,18.7,18.5,18.3,18.1,18.3
,Domestic Treatment,13.5,13.7,13.9,13.9,13.8,13.8,13.6,13.6,13.6,13.6,13.6,13.5,13.4,13.3,13.1,12.9,12.8,12.6,12.4,12.3,12.0,11.7,11.5,11.2,11.1,11.2,10.8,10.5,10.2,9.8,10
,Domestic Effluent,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.5,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
,Industrial Treatmenta,4.9,5.0,5.2,5.2,5.5,5.4,5.3,5.4,5.4,5.5,5.5,5.3,5.4,5.4,5.4,5.4,5.5,5.6,5.7,5.4,5.5,5.5,5.5,5.4,5.3,5.4,5.6,5.7,5.8,5.9,5.9
,Industrial Effluenta,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,N2O,16.6,17.0,17.4,17.6,18.1,18.2,18.5,18.6,19.0,19.6,19.9,19.6,19.9,20.1,20.4,20.3,20.7,20.8,20.7,20.6,20.9,21.1,21.8,22.0,22.1,22.2,22.8,23.2,23.5,23.4,23.5
,Domestic Treatment,11.8,12.1,12.4,12.6,13.0,13.1,13.4,13.5,13.8,14.3,14.5,14.5,14.8,15.1,15.5,15.4,15.8,15.8,15.7,15.7,16.0,15.9,16.3,16.4,16.7,16.8,17.3,17.7,18,18,18.1
,Domestic Effluent,4.4,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.9,4.7,4.6,4.5,4.4,4.4,4.5,4.5,4.4,4.4,4.4,4.7,5.1,5.0,5.0,4.9,5.0,5,5,4.9,4.9
,   Industrial Treatmentb,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4
,   Industrial Effluentb,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total,36.9,37.6,38.4,38.6,39.3,39.1,39.3,39.4,39.9,40.6,40.8,40.3,40.6,40.6,40.7,40.5,40.8,40.8,40.5,40.0,40.2,40.4,41.1,40.9,40.9,41.1,41.5,41.7,41.8,41.5,41.8
,"a Industrial activity for CH4 includes the pulp and paper manufacturing, meat and poultry processing, fruit and vegetable processing, starch-based ethanol production, petroleum refining, and breweries industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Industrial activity for N2O includes the pulp and paper manufacturing, meat and poultry processing, starch-based ethanol production, and petroleum refining.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
