Table 7-8:  CH4 and N2O Emissions from Domestic and Industrial Wastewater Treatment (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CH4,812,824,840,840,848,839,831,834,835,840,836,825,825,818,810,806,802,799,796,778,771,772,770,757,750,755,748,740,732,723,730
Domestic Treatment,540,548,556,554,553,550,544,544,544,545,545,540,536,531,524,518,510,503,497,491,481,470,459,448,445,447,434,420,407,393,400
Domestic Effluent,49,50,51,50,49,48,47,47,47,48,48,48,49,49,49,49,50,50,50,50,50,62,73,72,71,71,71,72,73,73,73
Industrial Treatmenta,196,200,206,208,218,215,214,217,218,221,218,213,218,216,215,216,220,224,227,217,219,219,218,217,213,217,223,228,232,237,238
Industrial Effluenta,27,27,27,27,29,27,26,26,26,26,25,23,23,22,23,22,22,22,22,21,21,21,20,20,20,20,20,20,20,20,20
N2O,56,57,58,59,61,61,62,62,64,66,67,66,67,68,68,68,70,70,69,69,70,71,73,74,74,75,76,78,79,79,79
Domestic Treatment,40,41,42,42,44,44,45,45,46,48,49,49,50,51,52,52,53,53,53,53,54,53,55,55,56,56,58,59,60,60,61
Domestic Effluent,15,15,15,15,16,15,16,15,16,16,16,16,15,15,15,15,15,15,15,15,15,16,17,17,17,16,17,17,17,16,16
Industrial Treatmentb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
Industrial Effluentb,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Industrial activity for CH4 includes the pulp and paper manufacturing, meat and poultry processing, fruit and vegetable processing, starch-based ethanol production, petroleum refining, and breweries industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Industrial activity for N2O includes the pulp and paper manufacturing, meat and poultry processing, starch-based ethanol production, and petroleum refining.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
