Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average Annual Change
,CO2,9,7.1 ,7.7 ,7.0 ,6.8 ,6.3 ,5.8 ,5.4 ,6.1 ,5.7 ,5.8 ,7.1 ,5.9 ,4.0 ,4.0 ,3.1,5.5 ,4.3 ,4.8 ,4.8 ,5.6 ,6.5 ,6.8 ,6.7 ,6.1 ,4.8 ,3.7,3.2,1.2,3.3,5.5
,Fossil Fuel Combustion,-0.3,(0.2),0.1 ,0.4 ,(0.2),(0.4),(0.6),(0.8),(0.1),0.1 ,0.4 ,0.8 ,0.9 ,(1.0),(1.0),-1.5,(+),(0.4),(0.7),(1.1),(0.6),(0.3),(0.8),(0.2),(1.4),(1.8),-1.9,-1.2,-2.1,-4.4,-0.7
,Electric Power Sector,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,0.1,+
,Transportation,-0.2,(0.2),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(0.1),(0.1),(0.1),(0.7),(0.8),(0.7),(0.9),(1.0),-2.2,-2.5,-3.8,-3.5,-0.6
,Industrial,-0.1,(0.1),0.2 ,0.6 ,(0.1),(0.3),(0.5),(0.7),+,0.2 ,0.4 ,0.7 ,(+),(0.4),(0.9),-1.4,+,(0.3),(0.7),(1.0),(0.4),0.3 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2,0.3,0.5,-6.4,-0.3
,Residential,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),+,+,+,+,+,+,+,0.2,4.6,0.2
,Commercial,+,+,+,(+),(+),(+),(+),+,+,+,+,(+),(+),(+),(+),(+),(+),+,+,+,(+),+,+,+,+,+,(+),+,0.1,1,+
,U.S. Territories,(+),(+),(+),(+),(+),(+),(+),(+),+,(+),+,0.2 ,1.0 ,(0.5),+,+,+,+,0.1 ,+,(0.2),+,(0.1),0.4 ,(0.6),(0.8),0.1,0.9,0.9,-0.3,+
,Non-Energy Use of Fuels,-0.6,(0.7),(0.7),(0.8),(0.7),(0.7),(0.8),(0.7),(0.8),(0.9),(1.0),(0.4),(0.4),(0.3),(0.3),-0.2,(0.4),(0.5),(0.6),(0.7),(0.2),(0.1),(+),(0.2),(0.2),(0.3),-0.3,-0.9,-0.9,-2,-0.6
,Natural Gas Systems,-0.1,(0.1),(0.1),(0.2),(0.2),(0.1),(0.2),(0.2),(0.2),(+),(+),+,(+),(0.1),(0.1),-0.2,(0.1),(0.1),(0.1),+,+,(+),(+),(+),(+),(+),-0.3,-0.1,-1.5,1.5,-0.1
,Cement Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Lime Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Other Process Uses of Carbonates,-0.1,(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.1),(0.2),(0.3),(0.2),(0.1),(0.2),(0.2),(0.2),-0.2,NC,(0.8),(0.4),(+),(0.1),(0.7),(0.2),(0.6),(0.4),(+),-0.2,-0.1,-0.1,2.4,-0.1
,Glass Production,0.8,0.7 ,0.7 ,0.7 ,0.6 ,0.5 ,0.7 ,0.9 ,1.0 ,1.2 ,0.9 ,1.1 ,0.7 ,0.8 ,0.8 ,0.5,0.4 ,0.8 ,0.7 ,0.9 ,0.6 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.9,0.7,0.7,0.7,0.8
,Soda Ash Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Carbon Dioxide Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,4.9,3.1 ,3.4 ,3.1 ,3.1 ,3.0 ,2.5 ,1.7 ,1.8 ,1.2 ,1.7 ,1.4 ,1.0 ,0.9 ,0.7 ,0.6,1.6 ,1.3 ,1.8 ,2.0 ,2.0 ,2.7 ,2.8 ,2.7 ,2.7 ,2.6 ,2.8,1.6,1.8,1.5,2.1
,Titanium Dioxide Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Iron and Steel Production & Metallurgical Coke Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,1.8,0.1
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ammonia Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Urea Consumption for Non-Agricultural Purposes,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,0.1 ,0.2,0.2,0.2,-0.2,+
,Phosphoric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(+),+,+
,Petrochemical Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2 ,NC,-0.2,(+),NC,-0.1,(+)
,Carbide Production and Consumption,-0.1,(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(+),(+),NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+)
,Lead Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(+)
,Zinc Production,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,Petroleum Systems,-0.1,(0.1),(0.1),(0.1),(0.2),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(+),(+),+,0.1 ,0.4 ,0.4 ,0.5 ,0.1 ,0.1,+,0.2,-0.6,(+)
,Abandoned Oil and Gas Wells,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),+,(+)
,Magnesium Production and Processing,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1
,Liming,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(+)
,Urea Fertilization,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(0.1),-0.2,-0.2,-0.2,-0.2,(+)
,Coal Mining,4.6*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,4.2*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,2.8*,3.1*,3.1*,3.0*,4.0*
,International Bunker Fuelsa,0.2,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,"Wood Biomass, Ethanol, and Biodiesel Consumptionb",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2,0.4,0.2,1,0.1
,CH4c,3.9,4.4 ,5.4 ,4.3 ,4.5 ,5.5 ,6.2 ,6.6 ,7.8 ,9.4 ,10.5 ,11.6 ,11.4 ,11.1 ,11.7 ,11.3,12.5 ,12.4 ,13.6 ,12.8 ,13.2 ,13.6 ,16.4 ,15.7 ,15.0 ,15.2 ,15.2,15.4,15.2,9.1,10.7
,Stationary Combustion,+,(+),+,+,(+),(+),(+),(+),+,+,+,+,+,(+),(+),(+),(+),(+),(+),(+),(+),+,(+),+,(+),(+),+,+,+,0.1,+
