Table ES-1:  Global Warming Potentials (100-Year Time Horizon) Used in this Report,,
,,
,Gas,GWP
,CO2,1
,CH4a,25
,N2O,298
,HFCs,"up to 14,800"
,PFCs,"up to 12,200"
,SF6,"22,800"
,NF3,"17,200"
,Other Fluorinated Gases,See Annex 6
,a The GWP of CH4 includes the direct effects and those indirect effects due to the production of tropospheric ozone and stratospheric water vapor. The indirect effect due to production of CO2 is not included. See Annex 6 for additional information.,
,Source: IPCC (2007).,
