"Table ES-4:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Forest Land Remaining Forest Landa,-769.7,-774.3,-776.4,-773.5,-763.9,-757.1,-757.8,-753.7,-748.1,-732.9,-706.8,-715.0,-668.9,-705.0,-615.8,-674.0,-699.3,-668.3,-658.8,-635.5,-672.0,-683.1,-674.2,-666.9,-692.8,-606.6,-717.3,-670.1,-664.6,-631.8,-642.2
Land Converted to Forest Landb,-98.6,-98.6,-98.6,-98.6,-98.7,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-99.0,-99.0,-99.1,-99.1,-99.1,-99.2,-99.2,-99.2,-99.3,-99.3,-99.3,-99.3,-99.4,-99.5,-99.5,-99.5,-99.5,-99.5
Cropland Remaining Cropland,-23.2,-29.0,-25.5,-11.6,-19.3,-12.1,-27.5,-19.1,-9.9,-18.0,-23.7,-27.2,-32.0,-24.1,-26.2,-29.0,-25.2,-29.2,-23.0,-14.0,-18.6,-31.8,-26.4,-15.3,-12.2,-12.8,-22.7,-22.3,-16.6,-14.5,-23.3
Land Converted to Croplandc,51.8,52.6,53.2,52.5,52.8,57.1,56.1,59.2,55.9,56.1,55.3,55.8,53.4,53.2,52.0,52.0,50.9,51.1,53.3,53.5,54.9,52.0,53.2,54.1,55.2,55.8,54.1,54.3,54.0,53.9,54.4
Grassland Remaining Grasslandd,7.1,7.1,8.8,11.4,-1.3,6.6,6.2,9.3,3.3,8.1,-4.6,6.0,4.5,2.6,8.0,9.4,-2.4,11.2,3.5,4.9,18.9,17.4,2.8,14.7,18.9,12.6,8.6,9.9,10.3,13.1,5.1
Land Converted to Grasslandc,-3.1,-3.0,-2.6,-5.7,-11.3,-13.9,-17.6,-19.3,-25.7,-29.9,-35.2,-38.3,-38.6,-38.0,-37.5,-37.0,-38.0,-37.1,-34.0,-33.8,-32.6,-32.1,-31.2,-27.8,-22.4,-20.8,-22.6,-22.7,-22.4,-21.5,-24.1
Wetlands Remaining Wetlandse,14.7,14.8,14.9,15.1,15.2,15.4,15.3,15.5,15.8,16.0,16.1,17.0,17.1,17.1,17.3,17.2,25.9,26.3,26.3,26.3,26.4,16.2,15.9,15.9,15.9,15.9,15.8,15.9,15.9,15.9,15.8
Land Converted to Wetlandse,7.2,6.5,6.1,5.7,5.0,4.7,4.6,4.3,3.6,3.4,3.3,2.4,1.6,1.6,1.3,1.3,1.2,1.2,1.0,0.9,0.9,0.4,0.3,0.3,0.3,0.6,0.6,0.6,0.6,0.6,0.6
Settlements Remaining Settlementsf,-107.6,-108.2,-106.1,-105.1,-103.5,-103.2,-104.1,-104.5,-106.7,-109.1,-110.0,-111.3,-110.7,-111.5,-112.2,-113.5,-114.0,-115.2,-118.2,-120.1,-121.6,-121.9,-121.9,-123.2,-124.3,-123.7,-121.5,-125.3,-124.9,-124.5,-123.7
Land Converted to Settlementsc,60.8,62.3,63.9,65.7,67.5,69.5,71.4,73.6,75.4,77.1,79.1,80.7,81.8,82.3,82.5,82.8,82.9,82.8,82.6,82.3,81.9,81.4,80.9,80.2,79.4,78.3,77.8,77.9,78.0,77.9,77.9
LULUCF Carbon Stock Change/CO2g,-892.0,-900.6,-891.2,-873.0,-889.6,-860.3,-883.3,-861.5,-863.9,-860.6,-862.6,-860.4,-831.2,-857.3,-775.8,-831.1,-855.1,-818.7,-802.5,-772.5,-791.4,-836.3,-837.7,-804.5,-814.4,-748.9,-862.0,-826.7,-809.0,-760.8,-812.2
LULUCF CH4 and N2O Emissionsh,31.4,30.7,28.8,28.8,32.1,28.5,31.2,28.1,28.6,32.5,37.4,31.6,40.7,36.5,46.3,41.3,37.9,42.4,36.0,38.0,30.4,35.6,37.8,37.1,33.0,48.9,35.4,45.5,39.8,30.3,53.2
CH4,27.2,26.5,25.4,25.3,26.8,25.0,26.2,24.7,25.1,27.0,29.4,26.2,31.2,28.9,33.2,30.9,29.0,31.6,28.0,29.1,25.4,27.9,29.3,29.3,26.9,36.0,28.3,34.0,30.7,25.5,38.1
N2O,4.2,4.2,3.4,3.5,5.2,3.5,5.0,3.4,3.5,5.5,8.0,5.3,9.5,7.6,13.2,10.5,8.8,10.8,8.0,8.9,5.0,7.7,8.5,7.8,6.1,12.9,7.1,11.5,9.1,4.8,15.2
LULUCF Sector Net Totali,-860.6,-869.9,-862.4,-844.2,-857.5,-831.8,-852.1,-833.4,-835.3,-828.0,-825.2,-828.8,-790.5,-820.8,-729.5,-789.8,-817.2,-776.4,-766.5,-734.5,-761.0,-800.7,-799.9,-767.4,-781.4,-700.1,-826.6,-781.2,-769.3,-730.5,-758.9
"a Includes the net changes to carbon stocks stored in all forest ecosystem pools and harvested wood products, emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land, emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land, and CH4 and N2O emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes the net changes to carbon stocks stored in all forest ecosystem pools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes changes in mineral and organic soil carbon stocks for all land use conversions to cropland, grassland, and settlements, respectively. Also includes aboveground/belowground biomass, dead wood, and litter carbon stock changes for conversion of forest land to cropland, grassland, and settlements, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Estimates include CH4 emissions from Flooded Land Remaining Flooded Land and Land Converted to Flooded Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Estimates include N2O emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements because it is not possible to separate the activity data at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g LULUCF Carbon Stock Change includes any C stock gains and losses from all land use and land use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
