Table ES-6:  U.S. Greenhouse Gas Emissions with Electricity-Related Emissions Distributed by Economic Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Sectors,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Industry,,,"2,326.5","2,287.1","2,348.8","2,326.1","2,365.1","2,374.2","2,422.6","2,438.5","2,425.2","2,376.6","2,383.4","2,282.7","2,247.4","2,249.7","2,298.7","2,251.6","2,260.8","2,246.4","2,173.4","1,922.2","2,054.9","2,042.3","2,004.6","2,057.7","2,039.3","1,987.3","1,917.5","1,926.4","1,983.1","1,964.7","1,813.7"
,Transportation,,,"1,529.6","1,483.4","1,543.0","1,580.0","1,635.1","1,670.2","1,726.4","1,753.0","1,795.5","1,866.6","1,917.1","1,889.2","1,929.5","1,937.7","1,970.5","1,980.3","1,980.5","1,979.6","1,875.7","1,800.9","1,806.9","1,773.0","1,753.0","1,755.9","1,790.0","1,797.8","1,832.4","1,849.6","1,879.5","1,879.1","1,632.4"
,Residential,,,957.6,975.3,971.8,"1,024.2","1,014.8","1,028.8","1,091.3","1,079.7","1,083.1","1,104.5","1,168.4","1,158.9","1,185.9","1,215.2","1,213.1","1,247.2","1,184.6","1,238.2","1,226.0","1,160.2","1,216.2","1,159.6","1,050.6","1,112.0","1,132.3","1,054.0",999.9,964.3,"1,036.7",984.1,923.1
,Commercial,,,982.7,989.9,984.5,"1,002.9","1,016.5","1,030.3","1,059.7","1,092.7","1,102.8","1,108.2","1,170.0","1,173.8","1,173.5","1,189.8","1,207.4","1,227.4","1,209.6","1,253.4","1,247.5","1,188.4","1,211.2","1,171.6","1,114.1","1,142.5","1,154.4","1,123.3","1,078.6","1,051.7","1,065.3","1,020.1",919.7
,Agriculture,,,631.9,621.3,623.7,653.5,641.5,654.5,663.5,653.9,660.5,652.3,636.8,656.1,663.1,658.6,674.2,664.6,664.3,688.2,672.1,673.1,681.6,664.1,649.8,687.5,698.5,697.4,682.6,683.2,697.1,699.1,669.5
,U.S. Territories,,,25.1,25.8,25.5,26.7,27.8,27.4,27.5,28.3,27.7,30.1,51.9,58.6,59.8,62.8,64.5,63.7,61.1,57.9,46.0,42.5,36.6,34.5,34.4,28.9,28.9,29.2,26.8,25.8,25.8,24.6,23.0
,Total Gross Emissions (Sources),,,"6,453.5","6,382.9","6,497.3","6,613.4","6,700.8","6,785.4","6,990.9","7,046.2","7,094.8","7,138.1","7,327.6","7,219.2","7,259.2","7,313.8","7,428.5","7,434.8","7,360.8","7,463.8","7,240.6","6,787.3","7,007.4","6,845.1","6,606.5","6,784.5","6,843.4","6,689.0","6,537.9","6,501.0","6,687.5","6,571.7","5,981.4"
,LULUCF Sector Net Totala,,,-860.6,-869.9,-862.4,-844.2,-857.5,-831.8,-852.1,-833.4,-835.3,-828.0,-825.2,-828.8,-790.5,-820.8,-729.5,-789.8,-817.2,-776.4,-766.5,-734.5,-761.0,-800.7,-799.9,-767.4,-781.4,-700.1,-826.6,-781.2,-769.3,-730.5,-758.9
,Net Emissions (Sources and Sinks),,,"5,592.8","5,513.0","5,634.9","5,769.2","5,843.3","5,953.6","6,138.8","6,212.8","6,259.6","6,310.1","6,502.4","6,390.4","6,468.6","6,493.0","6,699.0","6,645.0","6,543.6","6,687.4","6,474.2","6,052.8","6,246.4","6,044.4","5,806.6","6,017.1","6,062.0","5,988.9","5,711.2","5,719.8","5,918.2","5,841.2","5,222.4"
,a The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Emissions from electric power are allocated based on aggregate electricity use in each end-use sector. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
