Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
2,1,0,2,3,0,4,0,138,1,2472,3,1,14,47,6,1,2,5,2595
1,0,3,0,0,0,0,1,266,3,8457,1,1,3,5,6,2,10,6,4743
3,0,2,1,3,0,2,0,56,2,5363,2,4,9,11,19,1,15,0,1832
3,0,2,1,1,0,3,2,111,2,2893,1,6,13,16,10,1,11,11,1732
3,1,2,2,1,0,4,1,126,3,7622,2,2,6,37,9,1,15,14,5272
0,1,2,3,1,0,1,1,282,2,2237,1,6,0,8,5,0,11,3,1300
1,1,3,0,0,0,0,1,165,0,472,3,4,17,24,20,2,4,2,2582
2,1,2,0,0,0,0,2,62,3,5737,2,1,5,20,20,2,5,0,4284
0,0,1,0,3,0,3,1,280,3,8320,3,5,9,0,4,1,5,10,3911
2,1,0,0,3,0,1,1,294,3,9488,3,5,16,20,18,2,1,15,3141
3,1,1,1,3,0,1,0,209,1,9555,1,2,13,43,3,2,3,4,1188
3,1,1,3,1,0,0,0,124,1,9031,0,5,1,11,5,2,12,7,3174
1,0,2,1,2,0,0,2,136,1,5033,2,6,0,43,24,0,8,13,2665
2,1,3,2,1,0,2,0,253,0,2277,1,1,0,11,20,1,3,14,1690
0,1,2,1,0,0,3,2,281,0,7272,1,2,4,38,5,0,4,1,4060
1,0,3,1,1,0,4,2,82,2,5260,0,3,14,18,17,0,12,10,3262
1,1,3,0,2,0,2,1,246,0,2998,3,4,0,36,3,1,2,12,3135
3,1,1,1,2,0,3,2,98,2,9147,0,5,1,49,20,2,12,8,4465
2,0,3,1,1,0,3,1,287,3,4885,1,1,21,21,3,2,13,8,3246
0,1,0,3,0,0,4,2,213,1,7964,3,1,16,43,9,0,9,13,4638
3,0,0,3,0,0,2,1,281,2,3606,3,3,16,8,22,1,13,14,1909
1,1,3,1,1,0,3,1,110,1,5765,2,5,7,2,18,0,10,13,3054
2,1,1,1,1,0,3,0,56,0,7797,1,7,22,8,15,2,12,13,4301
0,0,3,2,3,0,4,1,202,0,7629,2,1,17,37,2,0,11,0,4132
2,1,3,0,3,0,4,2,114,0,2367,2,3,1,41,23,0,3,13,2993
2,0,0,0,3,0,4,1,141,0,3960,2,1,7,21,1,2,9,15,3098
0,0,0,0,0,0,3,2,95,2,6455,1,1,15,31,14,2,7,8,2941
2,0,2,3,3,0,1,2,291,3,8707,2,3,2,23,23,1,11,12,2439
1,0,1,3,1,0,3,2,70,3,167,3,2,9,7,20,2,13,13,2056
0,1,2,3,0,0,3,1,182,1,2880,3,5,10,9,1,1,7,4,1923
3,1,0,0,3,0,0,1,252,3,1419,1,5,8,43,20,2,12,3,3748
0,0,2,0,1,0,1,0,162,2,9159,3,7,2,26,16,0,15,2,1122
1,1,3,0,3,0,2,0,145,1,8016,3,3,21,14,16,0,13,5,2810
3,0,1,3,3,0,2,0,285,0,7743,0,3,1,33,4,2,10,10,2768
1,0,0,2,0,0,1,0,286,2,2721,3,6,23,30,22,0,0,11,2171
3,1,2,2,0,0,0,2,270,0,8815,3,2,7,37,9,1,2,2,4017
0,0,1,2,3,0,1,1,146,2,3276,0,1,13,10,10,0,6,9,877
1,1,2,3,1,0,2,2,221,1,3309,2,5,8,16,20,2,10,2,1856
1,1,1,2,3,0,2,1,230,1,2623,2,2,20,31,12,0,0,2,2197
1,0,0,3,1,0,0,1,295,3,7915,1,1,15,10,18,1,9,13,4281
3,1,2,1,1,0,3,2,177,0,8897,3,3,17,3,24,2,1,3,3480
3,1,0,0,2,0,1,1,174,0,3662,3,2,9,44,21,2,13,1,2046
1,1,2,3,0,0,4,0,193,1,611,1,6,12,37,5,1,11,11,2521
2,1,1,2,3,0,1,2,247,1,8219,0,5,18,2,5,1,1,13,1708
3,1,2,1,3,0,2,2,137,1,7460,3,6,5,11,20,1,9,0,2042
3,1,3,1,2,0,0,0,174,3,4686,0,2,0,47,2,0,7,2,3473
1,0,0,1,2,0,1,1,125,1,5168,3,3,1,40,17,0,9,13,1552
0,1,2,2,0,0,4,0,280,0,672,3,3,24,34,18,0,8,14,2406
1,0,3,0,3,0,4,2,270,2,3114,1,3,14,5,10,1,10,11,2540
0,0,3,3,2,0,3,0,80,2,7134,0,2,5,8,5,2,8,5,2424
2,0,2,2,0,0,0,2,276,2,8609,0,6,6,14,20,2,9,6,4000
0,0,0,0,2,0,4,2,145,2,2885,3,4,3,33,21,1,12,7,2349
0,1,2,3,2,0,4,0,260,2,8130,1,7,7,27,0,1,13,6,4536
1,0,0,3,2,0,0,0,213,0,6337,0,4,13,1,0,1,15,1,3620
3,0,0,0,2,0,0,1,96,3,6159,3,2,6,5,19,2,11,11,2895
2,1,0,2,1,0,0,2,162,1,9884,0,1,21,32,21,2,14,4,4294
0,1,2,2,3,0,2,2,233,0,4060,0,7,13,46,7,0,0,5,3429
2,1,3,3,2,0,0,1,145,0,84,3,1,1,5,22,2,15,5,1880
0,0,1,1,0,0,0,1,236,0,6908,1,3,15,8,17,2,15,0,3535
1,0,3,2,2,0,3,0,77,0,121,0,2,2,0,3,1,3,4,1268
2,1,2,0,2,0,1,1,234,1,8659,1,1,8,10,11,2,5,8,926
0,1,0,2,2,0,1,0,67,2,5230,2,3,5,6,0,1,11,12,914
1,0,3,3,3,0,3,0,280,2,6160,1,2,1,8,19,0,8,11,2988
3,1,1,1,3,0,2,0,145,0,5469,2,4,16,5,5,0,9,9,2335
0,0,3,2,0,0,1,1,140,0,6028,0,3,11,12,19,0,2,15,1884
3,1,2,0,3,0,3,2,155,2,1669,3,3,1,18,15,1,4,3,1505
0,1,2,0,0,0,3,1,98,3,8061,3,7,14,18,4,1,6,13,4580
0,0,2,3,0,0,3,1,252,1,2544,0,7,24,50,24,1,6,12,2833
0,1,2,1,3,0,1,1,269,0,4447,0,4,12,43,7,1,14,2,2649
0,1,1,2,3,0,0,1,113,2,4303,3,7,17,23,17,2,9,12,2706
